CODIGO_MESA;CANDIDATURA;ID_PAIS;PAIS;ID_DEPARTAMENTO;DEPARTAMENTO;CIRCUNSCRIPCION_ESPECIAL;ID_PROVINCIA;PROVINCIA;SECCION;MUNICIPIO;ID_LOCALIDAD;LOCALIDAD;ID_RECINTO;RECINTO;NUMERO_MESA;INSCRITOS_HABILITADOS;CREEMOS;ADN;MAS_IPSP;FPV;PAN_BOL;LIBRE_21;CC;JUNTOS;APG;CPEM_B;CIDOB;BIA_YUQUI;CONAMAQ;OICH;ORCAWETA;YAMINAWA;VOTO_VALIDO;VOTO_BLANCO;VOTO_NULO;VOTO_EMITIDO;VOTO_VALIDO_SISTEMA;VOTO_EMITIDO_SISTEMA
27094;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;2995;La Aguada                               ;2139;La Aguada;1;220;6;0;69;7;8;0;23;0;0;0;0;0;0;0;0;0;113;55;33;201;113;201
27097;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3204;Yolosani                                ;8018;Unidad Educativa Yolosani;1;103;0;0;58;1;0;0;6;0;0;0;0;0;0;0;0;0;65;30;2;97;65;97
27098;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3225;Candelaria                              ;8016;Unidad Educativa Candelaria;1;220;6;0;112;1;4;0;12;0;0;0;0;0;0;0;0;0;135;41;17;193;135;193
27099;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3225;Candelaria                              ;8016;Unidad Educativa Candelaria;2;220;6;0;132;1;2;0;8;0;0;0;0;0;0;0;0;0;149;37;15;201;149;201
27100;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3225;Candelaria                              ;8016;Unidad Educativa Candelaria;3;61;3;0;33;0;2;0;0;0;0;0;0;0;0;0;0;0;38;11;7;56;38;56
27103;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3451;Alto Chijini                            ;1;Unidad Educativa Alto Chijini;1;46;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;2;20;10;20
27104;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3610;Trapicheponte                           ;1;Esc. Secc. Trapicheponte;1;220;0;0;100;0;1;0;1;0;0;0;0;0;0;0;0;0;102;28;4;134;102;134
27105;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;2;Guanay;3610;Trapicheponte                           ;1;Esc. Secc. Trapicheponte;2;51;1;0;33;0;0;0;1;0;0;0;0;0;0;0;0;0;35;1;1;37;35;37
27151;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;6;Tipuani;304;Cotapampa                               ;2506;Esc. Nestor Paz Zamora;1;63;1;0;17;0;1;0;5;0;0;0;0;0;0;0;0;0;24;13;0;37;24;37
27189;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;7;Mapiri;3453;Charopampa                              ;1;U. E. 1ro de Mayo  de Charopampa;1;220;0;0;82;2;8;0;11;0;0;0;0;0;0;0;0;0;103;76;14;193;103;193
27190;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;7;Mapiri;3453;Charopampa                              ;1;U. E. 1ro de Mayo  de Charopampa;2;220;3;0;94;6;5;0;10;0;0;0;0;0;0;0;0;0;118;72;7;197;118;197
